Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.2,-65.8,90.0,top
C2,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,93.3875,-87.0,180.0,top
C3,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.75,-81.4375,90.0,top
D1,Fuse Trip,LED_1206_3216Metric,99.0,-53.0,180.0,top
D2,power OK,LED_1206_3216Metric,106.2,-53.0,180.0,top
D3,1N4148,D_SOD-323,104.9,-86.6,0.0,top
D4,D_Schottky,D_SMA,106.0,-98.8,-90.0,top
D5,1N4148,D_SOD-323,99.15,-86.8,180.0,top
F1,Polyfuse,Fuse_1206_3216Metric,103.632,-57.912,180.0,top
J1,Conn_01x02,"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical",98.6,-66.14,90.0,bottom
J2,Conn_01x02,"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical",98.6,-98.86,90.0,bottom
J3,Conn_01x16,PinHeader_1x16_P2.54mm_Vertical,119.253,-112.522,90.0,bottom
Q1,NMOS,SOT-23,148.7955,-77.6922,180.0,top
Q2,NMOS,SOT-23,122.8875,-67.084,180.0,top
Q3,NMOS,SOT-23,122.8875,-59.591,180.0,top
Q4,NMOS,SOT-23,122.8875,-74.577,180.0,top
Q5,NMOS,SOT-23,148.7955,-61.214,180.0,top
Q6,NMOS,SOT-23,148.7955,-66.7067,180.0,top
Q7,NMOS,SOT-23,148.7955,-72.1995,180.0,top
Q8,NMOS,SOT-23,148.7955,-83.185,180.0,top
Q9,NMOS,SOT-23,148.7955,-88.6777,180.0,top
Q10,NMOS,SOT-23,148.7955,-94.1705,180.0,top
Q11,NMOS,SOT-23,148.7955,-99.6632,180.0,top
Q12,NMOS,SOT-23,148.7955,-105.156,180.0,top
Q13,NMOS,SOT-23,122.8875,-97.056,180.0,top
Q14,NMOS,SOT-23,122.8875,-89.563,180.0,top
Q15,NMOS,SOT-23,122.8875,-82.07,180.0,top
Q16,NMOS,SOT-23,122.8875,-104.549,180.0,top
Q17,Q_PMOS_DGS,SOT-23,106.6,-64.0,180.0,top
R1,100,R_0805_2012Metric,139.5495,-78.105,0.0,top
R2,100,R_0805_2012Metric,114.204,-68.8938,0.0,top
R3,10k,R_0805_2012Metric,143.1055,-78.105,180.0,top
R4,10k,R_0805_2012Metric,117.666,-68.8938,180.0,top
R5,100,R_0805_2012Metric,114.204,-61.468,0.0,top
R6,100,R_0805_2012Metric,114.204,-75.8613,0.0,top
R7,10k,R_0805_2012Metric,117.633,-61.468,180.0,top
R8,10k,R_0805_2012Metric,117.7055,-75.8613,180.0,top
R9,100,R_0805_2012Metric,139.446,-61.722,0.0,top
R10,100,R_0805_2012Metric,139.5495,-67.183,0.0,top
R11,10k,R_0805_2012Metric,143.1055,-61.722,180.0,top
R12,10k,R_0805_2012Metric,143.1055,-67.183,180.0,top
R13,100,R_0805_2012Metric,139.5495,-72.644,0.0,top
R14,100,R_0805_2012Metric,139.5495,-83.566,0.0,top
R15,10k,R_0805_2012Metric,143.1055,-72.644,180.0,top
R16,10k,R_0805_2012Metric,143.1055,-83.566,180.0,top
R17,100,R_0805_2012Metric,139.5495,-89.027,0.0,top
R18,100,R_0805_2012Metric,139.5495,-94.488,0.0,top
R19,10k,R_0805_2012Metric,143.1055,-89.027,180.0,top
R20,10k,R_0805_2012Metric,143.1055,-94.488,180.0,top
R21,100,R_0805_2012Metric,139.5495,-99.949,0.0,top
R22,100,R_0805_2012Metric,139.5495,-105.41,0.0,top
R23,10k,R_0805_2012Metric,143.1055,-99.949,180.0,top
R24,10k,R_0805_2012Metric,143.1055,-105.41,180.0,top
R25,100,R_0805_2012Metric,114.204,-97.4513,0.0,top
R26,100,R_0805_2012Metric,114.204,-90.2547,0.0,top
R27,10k,R_0805_2012Metric,117.7525,-97.4513,180.0,top
R28,10k,R_0805_2012Metric,117.9595,-90.2547,180.0,top
R29,100,R_0805_2012Metric,114.204,-83.1955,0.0,top
R30,100,R_0805_2012Metric,114.204,-104.648,0.0,top
R31,10k,R_0805_2012Metric,117.9595,-83.1955,180.0,top
R32,10k,R_0805_2012Metric,117.682,-104.648,180.0,top
R33,1K,R_0805_2012Metric,109.6,-57.5545,90.0,top
R34,10k,R_0805_2012Metric,114.2,-57.5545,90.0,top
R35,1K,R_0805_2012Metric,118.6,-57.531,90.0,top
R36,240,R_0805_2012Metric,94.35,-76.2,180.0,top
R37,750,R_0805_2012Metric,90.95,-76.2,180.0,top
SW1,SW_SPST,SW_SPST_CK_RS282G05A3,138.0,-53.8,0.0,top
U1,ESP32_DevKit_V1_DOIT,esp32_devkit_v1_doit,123.825,-96.926,180.0,bottom
U2,LM317_TO-252,TO-252-2,102.175,-80.525,0.0,top
